date,fold_id_used,fold_train_end,n_picks,picks,predicted_probas,n_trades,n_problematic_trades,total_cost_inr
2025-07-03,0,2021-12-28,10,"LTIM,POWERGRID,NESTLEIND,TATACONSUM,TITAN,BAJFINANCE,ICICIBANK,ADANIENT,APOLLOHOSP,BAJAJFINSV","0.5505,0.5438,0.5231,0.5231,0.5231,0.5141,0.5141,0.5117,0.5101,0.5101",18,0,3607.0985587044024
2025-07-31,0,2021-12-28,10,"INDUSINDBK,EICHERMOT,MARUTI,KOTAKBANK,COALINDIA,TATACONSUM,TITAN,NESTLEIND,APOLLOHOSP,BEL","0.5421,0.5349,0.5349,0.5334,0.5324,0.5244,0.5244,0.5231,0.5141,0.5141",16,0,2646.1626446091404
2025-09-01,0,2021-12-28,10,"ADANIENT,BAJFINANCE,BEL,ICICIBANK,KOTAKBANK,POWERGRID,INDUSINDBK,ADANIPORTS,COALINDIA,DRREDDY","0.5438,0.5438,0.5438,0.5438,0.5438,0.5438,0.5424,0.5324,0.5324,0.5324",16,0,2821.5411562267827
2025-09-29,0,2021-12-28,10,"ICICIBANK,RELIANCE,INDUSINDBK,KOTAKBANK,CIPLA,ITC,BPCL,COALINDIA,NTPC,SBIN","0.5438,0.5438,0.5424,0.5334,0.5324,0.5324,0.5323,0.5323,0.5323,0.5323",16,0,2846.1595275266586
2025-10-29,0,2021-12-28,10,"ADANIENT,POWERGRID,ULTRACEMCO,BPCL,COALINDIA,HDFCBANK,ITC,ONGC,SHRIRAMFIN,TATASTEEL","0.5438,0.5438,0.5349,0.5323,0.5323,0.5323,0.5323,0.5323,0.5323,0.5323",17,0,3454.4393691061446
2025-11-27,0,2021-12-28,10,"ADANIENT,HDFCBANK,ITC,KOTAKBANK,NTPC,APOLLOHOSP,GRASIM,ULTRACEMCO,CIPLA,DRREDDY","0.5438,0.5438,0.5438,0.5438,0.5438,0.5349,0.5349,0.5349,0.5324,0.5324",16,0,2964.8637256965926
2025-12-26,0,2021-12-28,10,"TCS,ADANIENT,ICICIBANK,NTPC,POWERGRID,TRENT,APOLLOHOSP,BAJAJFINSV,M&M,NESTLEIND","0.5491,0.5438,0.5438,0.5438,0.5438,0.5424,0.5349,0.5349,0.5349,0.5349",17,0,3387.679998189576
2026-01-23,0,2021-12-28,10,"INDUSINDBK,BAJFINANCE,ITC,APOLLOHOSP,AXISBANK,BEL,NESTLEIND,KOTAKBANK,DRREDDY,BPCL","0.5491,0.5438,0.5424,0.5364,0.5359,0.5359,0.5359,0.5334,0.5324,0.5323",18,0,3688.5227241585726
2026-02-23,0,2021-12-28,10,"ITC,NESTLEIND,KOTAKBANK,ASIANPAINT,BPCL,HDFCBANK,ONGC,BEL,TECHM,LTIM","0.5424,0.5359,0.5334,0.5324,0.5323,0.5323,0.5323,0.5320,0.5231,0.5215",15,0,2512.0784477307293
2026-03-24,0,2021-12-28,10,"ADANIENT,BAJFINANCE,ICICIBANK,RELIANCE,ITC,TCS,TRENT,EICHERMOT,BPCL,BRITANNIA","0.5438,0.5438,0.5438,0.5438,0.5424,0.5424,0.5424,0.5371,0.5250,0.5215",18,0,3559.788807944772
