date,total_value,cash,n_positions,gross_value
2023-01-04,1169162.8214983821,-2678.9796862908447,10,1171841.801184673
2023-01-05,1162029.9990972532,-2678.9796862908447,10,1164708.9787835442
2023-01-06,1151779.6341468117,-2678.9796862908447,10,1154458.6138331026
2023-01-09,1168535.5789825765,-2678.9796862908447,10,1171214.5586688675
2023-01-10,1155873.426303593,-2678.9796862908447,10,1158552.405989884
2023-01-11,1151695.198981817,-2678.9796862908447,10,1154374.178668108
2023-01-12,1142377.9190583625,-2678.9796862908447,10,1145056.8987446534
2023-01-13,1148047.670252666,-2678.9796862908447,10,1150726.649938957
2023-01-16,1146661.3336841036,-2678.9796862908447,10,1149340.3133703945
2023-01-17,1154520.6927834977,-2678.9796862908447,10,1157199.6724697887
2023-01-18,1163001.367417299,-2678.9796862908447,10,1165680.34710359
2023-01-19,1156308.7548667963,-2678.9796862908447,10,1158987.7345530873
2023-01-20,1149199.1790530472,-2678.9796862908447,10,1151878.1587393382
2023-01-23,1155045.627885793,-2678.9796862908447,10,1157724.607572084
2023-01-24,1148588.7095504934,-2282.632767262187,10,1150871.3423177556
2023-01-25,1138035.5505303722,-2282.632767262187,10,1140318.1832976344
2023-01-27,1108425.9001771247,-2282.632767262187,10,1110708.5329443868
2023-01-30,1117386.340588188,-2282.632767262187,10,1119668.9733554502
2023-01-31,1131058.2503989213,-2282.632767262187,10,1133340.8831661835
2023-02-01,1102057.2499558057,-2282.632767262187,10,1104339.882723068
2023-02-02,1091515.6200896036,-2282.632767262187,10,1093798.2528568658
2023-02-03,1101794.5164402968,-2282.632767262187,10,1104077.149207559
2023-02-06,1100960.8311672772,-2282.632767262187,10,1103243.4639345394
2023-02-07,1105205.897698014,-2282.632767262187,10,1107488.5304652762
2023-02-08,1132104.2450441099,-2282.632767262187,10,1134386.877811372
2023-02-09,1124182.8138049932,-2282.632767262187,10,1126465.4465722553
2023-02-10,1120593.909875587,-2282.632767262187,10,1122876.5426428493
2023-02-13,1112790.5180421018,-2282.632767262187,10,1115073.150809364
2023-02-14,1124298.9672238568,-2282.632767262187,10,1126581.599991119
2023-02-15,1131641.6296953242,-2282.632767262187,10,1133924.2624625864
2023-02-16,1136594.4783570725,-2282.632767262187,10,1138877.1111243346
2023-02-17,1130400.320295126,-2282.632767262187,10,1132682.953062388
2023-02-20,1120389.0661998675,-2282.632767262187,10,1122671.6989671297
2023-02-21,1118967.9880900632,-2282.632767262187,10,1121250.6208573254
2023-02-22,1099107.90925319,-2345.80160784806,10,1101453.7108610382
2023-02-23,1098885.2100874837,-2345.80160784806,10,1101231.011695332
2023-02-24,1095407.9050715312,-2345.80160784806,10,1097753.7066793793
2023-02-27,1086594.705620609,-2345.80160784806,10,1088940.5072284571
2023-02-28,1091920.2249385421,-2345.80160784806,10,1094266.0265463903
2023-03-01,1117752.390918813,-2345.80160784806,10,1120098.192526661
2023-03-02,1113235.1705234451,-2345.80160784806,10,1115580.9721312933
