date,ticker,side,shares,effective_price,notional_inr,cost_inr,meta_fold_id,meta_slip_bps
2024-03-15,INFY,buy,2.191675741982359,1539.155545715332,3373.329872681913,2.3321999062796666,0,5.0
2024-03-15,POWERGRID,buy,34.54930019502382,249.00890267944334,8603.08332990556,5.947864837710119,0,5.0
2024-03-15,ADANIENT,buy,0.7499247577548704,3130.989028564453,2348.0061887793545,1.6233276969920714,0,5.0
2024-03-15,BRITANNIA,buy,35.18516645964842,4849.193893066406,170619.69432265207,117.96036857563385,0,5.0
2024-04-18,ITC,sell,7.597956950916935,374.76479437255864,2847.446774361938,4.392133233118102,0,5.0
2024-04-18,KOTAKBANK,sell,21.60650776590751,356.36942512512206,7699.898751497944,11.876949378861328,0,5.0
2024-04-18,POWERGRID,sell,45.87084680560764,261.99540161132813,12017.950931086882,18.537463861896903,0,5.0
2024-04-18,TRENT,sell,0.9616253134716518,4078.722313964844,3922.2026237302643,6.049923969015694,0,5.0
2024-04-18,BAJFINANCE,sell,18.87751525288594,681.3297579650879,12861.812898231032,19.83910511588971,0,5.0
2024-04-18,ICICIBANK,sell,160.43847566784117,1037.9096185913086,166520.63708777996,256.8549588840433,0,5.0
2024-04-18,INFY,sell,110.85279509119108,1335.534291381836,148047.70913980977,228.36081406496857,0,5.0
2024-04-18,NESTLEIND,sell,133.68172685067876,1205.9388432006836,161211.9870353773,248.66646576519412,0,5.0
2024-04-18,BRITANNIA,sell,35.18516645964842,4572.4352949218755,160881.89697779782,248.1573080436625,0,5.0
2024-04-18,ASIANPAINT,buy,61.02008285457572,2747.7447678222657,167667.61339574156,115.91940515938869,0,5.0
2024-04-18,HINDALCO,buy,277.0570002203005,605.1737124938965,167667.61339574153,115.91940515938869,0,5.0
2024-04-18,BEL,buy,735.8054435344861,227.86949304199217,167667.61339574156,115.91940515938869,0,5.0
2024-04-18,LTIM,buy,36.58679280877325,4582.73602368164,167667.61339574153,115.91940515938869,0,5.0
2024-04-18,ADANIENT,buy,1.0595590283061231,3018.132823974609,3197.8898822693523,2.2109069569860407,0,5.0
2024-05-17,ITC,sell,1.651755683055999,390.3781385803223,644.8093089408696,0.9946062628186374,0,5.0
2024-05-17,BAJFINANCE,sell,245.84282077231603,664.9418988647461,163471.19206660928,252.15124714458446,0,5.0
2024-05-17,POWERGRID,sell,639.3243108241415,292.9091667327881,187263.95115551332,288.85113170181734,0,5.0
2024-05-17,KOTAKBANK,sell,470.0179582337821,338.37891316223147,159044.1658738783,245.32264229056221,0,5.0
2024-05-17,TRENT,sell,41.06678922484261,4625.049599609375,189935.9370616009,292.9726198371593,0,5.0
2024-05-17,HINDALCO,sell,277.0570002203005,646.6459976806641,179157.80032186818,276.347546107281,0,5.0
2024-05-17,BEL,sell,735.8054435344861,244.4329897003174,179855.1244009025,277.4231554178243,0,5.0
2024-05-17,ADANIENT,buy,1.3244606833887416,3059.3169799804687,4051.9450580077123,2.801370230959035,0,5.0
2024-05-17,RELIANCE,buy,122.03648223189845,1425.8644313964844,174007.47934721306,120.30256225813167,0,5.0
2024-05-17,ASIANPAINT,buy,2.257718132947863,2749.89769921875,6208.493899277781,4.292331149494687,0,5.0
2024-05-17,BAJAJFINSV,buy,109.86908329151963,1583.7711040649413,174007.47934721303,120.30256225813167,0,5.0
2024-05-17,TCS,buy,48.020544987868654,3623.604842285156,174007.47934721303,120.30256225813167,0,5.0
2024-05-17,COALINDIA,buy,420.65583385073563,413.6575921325683,174007.47934721303,120.30256225813167,0,5.0
2024-05-17,ONGC,buy,695.8283430018791,250.07242245483397,174007.47934721303,120.30256225813167,0,5.0
2024-05-17,SHRIRAMFIN,buy,376.8792334704137,461.7062015991211,174007.47934721303,120.30256225813167,0,5.0
2024-05-17,LTIM,buy,0.8482572630719077,4648.250209716796,3942.912000967791,2.725988665856503,0,5.0
2024-06-18,ADANIENT,sell,56.8778849938995,3305.75669519043,188024.44912685457,290.024185556141,0,5.0
2024-06-18,ITC,sell,445.29532176238456,390.69392909240725,173974.17886581374,268.35190725284014,0,5.0
2024-06-18,ASIANPAINT,sell,63.277800987523584,2880.931616333008,182299.01747698474,281.192814641763,0,5.0
2024-06-18,LTIM,sell,37.435050071845154,4960.663447021485,185702.68452882126,286.44290721853827,0,5.0
2024-06-18,RELIANCE,sell,122.03648223189845,1469.4088489379883,179321.48688481515,276.6000295599684,0,5.0
2024-06-18,TCS,sell,48.020544987868654,3602.044024291992,172972.11711679705,266.8062458030387,0,5.0
2024-06-18,COALINDIA,sell,420.65583385073563,429.765112487793,180783.20175350775,278.8546973240625,0,5.0
2024-06-18,SHRIRAMFIN,sell,376.8792334704137,550.348955444336,207415.0924691042,319.9338891551202,0,5.0
2024-06-18,TITAN,buy,50.91903761755942,3568.344559936523,181696.67087982132,125.61859491682281,0,5.0
2024-06-18,BAJAJFINSV,buy,3.9073065421736994,1596.9628773193358,6239.8234981583755,4.313991316253004,0,5.0
2024-06-18,HINDALCO,buy,271.06647359427325,670.303001586914,181696.67087982132,125.61859491682281,0,5.0
2024-06-18,BPCL,buy,645.5141932749498,281.47587268066405,181696.67087982132,125.61859491682281,0,5.0
2024-06-18,NTPC,buy,515.3556873698155,352.5655684661865,181696.67087982132,125.61859491682281,0,5.0
2024-06-18,ONGC,buy,35.09478506465946,248.5851985015869,8724.0441116689,6.031492806079455,0,5.0
2024-06-18,WIPRO,buy,787.7745393624836,230.6455233078003,181696.67087982132,125.61859491682281,0,5.0
2024-06-18,BAJFINANCE,buy,250.37669216897842,725.6932316894531,181696.67087982135,125.61859491682281,0,5.0
2024-06-18,ICICIBANK,buy,164.38761025082087,1105.294192199707,181696.67087982132,125.61859491682281,0,5.0
2024-06-18,SUNPHARMA,buy,121.68546256134024,1493.1666203613281,181696.67087982132,125.61859491682281,0,5.0
2024-07-16,WIPRO,sell,70.90174698835517,262.20040769958496,18590.466966959546,28.67544655090666,0,5.0
2024-07-16,BAJAJFINSV,sell,113.77638983369333,1607.9618522338867,182948.0945374703,282.19400383127896,0,5.0
2024-07-16,ONGC,sell,730.9231280665387,290.5215976867676,212348.95495210067,327.54427947894254,0,5.0
2024-07-16,TITAN,sell,50.91903761755942,3222.734262329102,164098.52713493313,253.11889971905725,0,5.0
2024-07-16,HINDALCO,sell,271.06647359427325,681.5211295166016,184737.52925805116,284.9541733190896,0,5.0
2024-07-16,BPCL,sell,645.5141932749498,281.64023736572267,181802.77061689983,280.4273631693653,0,5.0
2024-07-16,NTPC,sell,515.3556873698155,362.50374656677246,186818.36748605245,288.1638272505472,0,5.0
2024-07-16,ICICIBANK,sell,164.38761025082087,1219.2942227172853,200436.86346512666,309.17010182373224,0,5.0
2024-07-16,SUNPHARMA,sell,121.68546256134024,1553.8129148559572,189076.44327803154,291.6468667995738,0,5.0
2024-07-16,ADANIENT,buy,60.51252238565088,3109.313401245117,188152.3967968494,130.08185346161792,0,5.0
2024-07-16,BAJFINANCE,buy,17.672759049639176,701.9316620178222,12405.069132153734,8.576422158322899,0,5.0
2024-07-16,LT,buy,52.195696540188095,3604.749227783203,188152.39679684944,130.08185346161792,0,5.0
2024-07-16,KOTAKBANK,buy,522.0227679703695,360.4294838104248,188152.39679684944,130.08185346161792,0,5.0
2024-07-16,COALINDIA,buy,417.3938934422183,450.77898779296873,188152.3967968494,130.08185346161792,0,5.0
2024-07-16,HDFCBANK,buy,235.34537926225752,799.4735115966796,188152.3967968494,130.08185346161792,0,5.0
2024-07-16,ITC,buy,443.0743761788012,424.6519476470947,188152.3967968494,130.08185346161792,0,5.0
2024-07-16,SHRIRAMFIN,buy,343.5093454318126,547.7358892822265,188152.3967968494,130.08185346161792,0,5.0
2024-07-16,ASIANPAINT,buy,64.01703396475403,2939.0989420166015,188152.39679684944,130.08185346161792,0,5.0
2024-08-14,HDFCBANK,sell,3.422736064923211,792.7820605773926,2713.4837503623794,4.185497781662015,0,5.0
2024-08-14,ASIANPAINT,sell,2.4601956201367594,2986.899845947266,7348.357918786625,11.334704239092073,0,5.0
2024-08-14,WIPRO,sell,716.8727923741284,231.96092684936525,166286.4773521954,256.49377188459545,0,5.0
2024-08-14,ADANIENT,sell,60.512522385650875,3037.074453125,183781.03583161498,283.4788001520351,0,5.0
2024-08-14,LT,sell,52.19569654018809,3510.68542956543,183242.67132965702,282.6483830071491,0,5.0
