date,total_value
2022-12-14,1178395.2512297262
2022-12-15,1162898.252636167
2022-12-16,1153684.6644158843
2022-12-19,1163248.6603165707
2022-12-20,1161029.0416553451
2022-12-21,1149270.4650234303
2022-12-22,1144739.4630708417
2022-12-23,1124496.8516961471
2022-12-26,1137619.3171453455
2022-12-27,1145052.1288469145
2022-12-28,1144433.2109517138
2022-12-29,1148758.9758820597
2022-12-30,1143347.0828159754
2023-01-02,1149166.2430980725
2023-01-03,1151382.9016099388
2023-01-04,1139409.59080992
2023-01-05,1136201.6522813684
2023-01-06,1127821.5927848332
2023-01-09,1143088.0697470391
2023-01-10,1131275.963747544
2023-01-11,1130110.7749560017
2023-01-12,1127742.6554685861
2023-01-13,1133956.625671476
2023-01-16,1130057.122248865
2023-01-17,1140063.2904600922
2023-01-18,1147139.157484756
2023-01-19,1143508.0409373855
2023-01-20,1138443.4720627887
2023-01-23,1144183.8183681953
2023-01-24,1144168.030904946
2023-01-25,1129873.96300726
2023-01-27,1111712.0899530186
2023-01-30,1114528.5487288071
2023-01-31,1115362.2007921115
2023-02-01,1112466.8047000759
2023-02-02,1112094.1958994777
2023-02-03,1127480.6822502906
2023-02-06,1121831.853895908
2023-02-07,1119110.1198996163
2023-02-08,1128595.1784840557
2023-02-09,1129968.6877867568
2023-02-10,1127635.3500543125
2023-02-13,1122229.7473056165
2023-02-14,1132267.3671037862
2023-02-15,1137698.2544615925
2023-02-16,1138961.2515215476
2023-02-17,1133173.5428263925
2023-02-20,1126883.8421357279
2023-02-21,1125753.435099157
2023-02-22,1108551.5138142153
2023-02-23,1105832.8633068395
2023-02-24,1102962.7518239145
2023-02-27,1098346.3988981338
2023-02-28,1092741.8494445835
2023-03-01,1102021.7943463367
2023-03-02,1093875.463309627
2023-03-03,1111080.5914230412
2023-03-06,1118475.4145411663
2023-03-08,1121187.7747311536
2023-03-09,1110780.6296213018
2023-03-10,1099622.0999324222
2023-03-13,1083291.5726151154
2023-03-14,1076281.9389323655
2023-03-15,1071788.8022236642
2023-03-16,1072638.1184106614
2023-03-17,1079865.6930899876
2023-03-20,1072814.9873348775
2023-03-21,1080336.1101589983
2023-03-22,1083139.9883000096
2023-03-23,1078403.7493251783
2023-03-24,1070077.4658753364
2023-03-27,1072644.4087280498
2023-03-28,1070497.3137261262
2023-03-29,1078643.6447628357
2023-03-31,1096265.6605776807
2023-04-03,1098684.3492833169
2023-04-05,1108725.1759099592
2023-04-06,1111383.760053253
2023-04-10,1112956.2160608084
2023-04-11,1119160.6891178372
2023-04-12,1124850.4662050232
2023-04-13,1125835.5792438767
2023-04-17,1118184.949885288
2023-04-18,1115235.9010861157
2023-04-19,1112621.4725040977
2023-04-20,1112981.377330362
2023-04-21,1112956.2160608084
2023-04-24,1120493.1263481784
2023-04-25,1122125.525380259
2023-04-26,1124926.1966927976
2023-04-27,1131332.8232831534
2023-04-28,1140802.0944043433
2023-05-02,1146021.4544225186
2023-05-03,1142371.343583426
2023-05-04,1152851.1356921366
2023-05-05,1141054.6938163345
2023-05-08,1153394.1997600058
2023-05-09,1153492.0080284183
2023-05-10,1156595.847971169
2023-05-11,1155452.860299821
2023-05-12,1156576.9770190038
2023-05-15,1161884.6481597307
2023-05-16,1154789.7868433448
2023-05-17,1148174.8397418305
2023-05-18,1144903.6280207245
2023-05-19,1149542.058727143
2023-05-22,1156551.6924098933
2023-05-23,1158673.5028027063
2023-05-24,1154720.3466729585
2023-05-25,1156977.9539176282
2023-05-26,1168231.2083860044
2023-05-29,1174502.0381245038
2023-05-30,1176724.8636142018
2023-05-31,1170444.6600693983
2023-06-01,1167498.694759142
2023-06-02,1170425.665777676
2023-06-05,1174198.8694942917
2023-06-06,1174524.1159051415
2023-06-07,1182569.431844966
2023-06-08,1176769.1425150342
2023-06-09,1172276.005806333
2023-06-12,1174681.9905376357
2023-06-13,1181922.1458517392
2023-06-14,1184432.3525083996
2023-06-15,1180150.7431393296
2023-06-16,1188859.1325356306
2023-06-19,1184403.8610708166
2023-06-20,1188271.7895669288
2023-06-21,1190807.2808327
2023-06-22,1185401.6780840037
2023-06-23,1178723.5811294918
2023-06-26,1180346.4830157114
2023-06-27,1188316.0684677614
2023-06-28,1198085.3013906905
