date,total_value
2023-10-26,1340547.2567319581
2023-10-27,1357557.3346262372
2023-10-30,1360896.66628542
2023-10-31,1360728.6812398708
2023-11-01,1354189.747349951
2023-11-02,1365924.7530712008
2023-11-03,1374626.3385643333
2023-11-06,1388130.247345857
2023-11-07,1393053.7007726994
2023-11-08,1398825.500037811
2023-11-09,1397586.6904056503
2023-11-10,1399637.4648301837
2023-11-13,1405722.2941305398
2023-11-15,1422194.5161673706
2023-11-16,1430140.5789935587
2023-11-17,1432778.3050241794
2023-11-20,1429873.2493493094
2023-11-21,1435209.4777501808
2023-11-22,1437530.171808821
2023-11-23,1436557.543842628
2023-11-24,1434066.6555646167
2023-11-28,1447826.5354769744
2023-11-29,1459079.8056644509
2023-11-30,1469678.5284147272
2023-12-01,1476698.2172139257
2023-12-04,1504930.9479003225
2023-12-05,1520892.4143319696
2023-12-06,1523135.7333162308
2023-12-07,1523721.0546953196
2023-12-08,1523206.1221588044
2023-12-11,1526207.668430977
2023-12-12,1523753.7074363837
2023-12-13,1530034.4033032348
2023-12-14,1546278.129320689
2023-12-15,1563970.8321324205
2023-12-18,1562103.0831652903
2023-12-19,1565326.4554972837
2023-12-20,1536862.6710100893
2023-12-21,1543308.5202116324
2023-12-22,1557512.1039265415
2023-12-26,1568625.9422048484
2023-12-27,1583783.0708018008
2023-12-28,1596774.617421736
2023-12-29,1595839.7208288924
2024-01-01,1596867.5940783615
2024-01-02,1592579.5459094488
2024-01-03,1585204.0246430093
2024-01-04,1594761.5388583997
2024-01-05,1597427.1685671883
2024-01-08,1585224.69317259
2024-01-09,1591824.1269247793
2024-01-10,1594440.978915351
2024-01-11,1599266.1623643213
2024-01-12,1613687.2588066948
2024-01-15,1623965.0422360632
2024-01-16,1619262.7448859063
2024-01-17,1599672.8511959019
2024-01-18,1590819.0199912633
2024-01-19,1608834.8208070982
2024-01-23,1580318.9831150721
2024-01-24,1601930.0353349654
2024-01-25,1594590.9367085341
2024-01-29,1620482.028084878
2024-01-30,1606079.2451929494
2024-01-31,1623888.0233523005
2024-02-01,1620618.9476230885
2024-02-02,1640148.546067913
2024-02-05,1635567.5775401543
2024-02-06,1652273.4064164609
2024-02-07,1661727.8953675565
2024-02-08,1651995.942848974
2024-02-09,1655165.7389680846
2024-02-12,1641675.6323995476
2024-02-13,1649320.5772962014
2024-02-14,1662435.3158362454
2024-02-15,1672010.9820292508
2024-02-16,1686603.8097578972
2024-02-19,1691510.2364621498
2024-02-20,1693317.8418674981
2024-02-21,1680919.1499415182
2024-02-22,1695892.710988918
2024-02-23,1697826.8016031259
2024-02-26,1691012.9933936791
2024-02-27,1695326.3247806327
2024-02-28,1672538.6039307704
2024-02-29,1676388.7815938562
2024-03-01,1698466.3370511706
2024-03-04,1704615.2084101143
2024-03-05,1699423.8670348001
2024-03-06,1705462.5044482588
2024-03-07,1713078.5168548266
2024-03-11,1706803.6294941395
2024-03-12,1696612.1032932678
2024-03-13,1658319.168352136
2024-03-14,1677404.3606178411
2024-03-15,1668282.8108248701
2024-03-18,1671866.7015466033
2024-03-19,1649489.9605458358
2024-03-20,1653630.0633356974
2024-03-21,1671938.9829717153
2024-03-22,1682975.9159450661
2024-03-26,1680834.2459128422
2024-03-27,1681443.535870369
2024-03-28,1702870.5397758917
2024-04-01,1713771.7473081923
2024-04-02,1718943.6887630892
2024-04-03,1716318.7680993082
2024-04-04,1717849.1173509334
2024-04-05,1715014.7862487745
2024-04-08,1727103.7929746443
2024-04-09,1725103.874018396
2024-04-10,1734586.1868021453
2024-04-12,1717547.93436668
2024-04-15,1701131.3786634111
2024-04-16,1691765.2874165014
2024-04-18,1677934.674565449
2024-04-19,1686209.3798366447
2024-04-22,1703583.4878737566
2024-04-23,1706515.5410692028
2024-04-24,1711760.0889099168
2024-04-25,1727322.3873601223
2024-04-26,1717295.0721346086
2024-04-29,1723383.2778992853
